Game Number: 1, Green: 7, Red: 4, Blue: 8
Game Number: 2, Green: 35, Red: 8, Blue: 58
Game Number: 3, Green: 16, Red: 36, Blue: 10
Game Number: 4, Green: 37, Red: 77, Blue: 26
Game Number: 5, Green: 25, Red: 15, Blue: 40
Game Number: 6, Green: 24, Red: 8, Blue: 14
Game Number: 7, Green: 18, Red: 5, Blue: 10
Game Number: 8, Green: 6, Red: 24, Blue: 10
Game Number: 9, Green: 41, Red: 45, Blue: 25
Game Number: 10, Green: 19, Red: 11, Blue: 2
Game Number: 11, Green: 34, Red: 48, Blue: 32
Game Number: 12, Green: 10, Red: 62, Blue: 39
Game Number: 13, Green: 8, Red: 4, Blue: 20
Game Number: 14, Green: 10, Red: 45, Blue: 40
Game Number: 15, Green: 3, Red: 30, Blue: 18
Game Number: 16, Green: 10, Red: 11, Blue: 4
Game Number: 17, Green: 3, Red: 7, Blue: 16
Game Number: 18, Green: 4, Red: 23, Blue: 14
Game Number: 19, Green: 31, Red: 6, Blue: 24
Game Number: 20, Green: 31, Red: 42, Blue: 15
Game Number: 21, Green: 42, Red: 59, Blue: 33
Game Number: 22, Green: 26, Red: 13, Blue: 31
Game Number: 23, Green: 49, Red: 34, Blue: 3
Game Number: 24, Green: 2, Red: 48, Blue: 4
Game Number: 25, Green: 30, Red: 16, Blue: 43
Game Number: 26, Green: 30, Red: 53, Blue: 35
Game Number: 27, Green: 4, Red: 32, Blue: 33
Game Number: 28, Green: 27, Red: 78, Blue: 6
Game Number: 29, Green: 37, Red: 66, Blue: 33
Game Number: 30, Green: 2, Red: 15, Blue: 25
Game Number: 31, Green: 37, Red: 38, Blue: 44
Game Number: 32, Green: 33, Red: 35, Blue: 8
Game Number: 33, Green: 9, Red: 9, Blue: 45
Game Number: 34, Green: 33, Red: 30, Blue: 55
Game Number: 35, Green: 25, Red: 48, Blue: 43
Game Number: 36, Green: 27, Red: 56, Blue: 16
Game Number: 37, Green: 37, Red: 14, Blue: 19
Game Number: 38, Green: 10, Red: 26, Blue: 29
Game Number: 39, Green: 14, Red: 48, Blue: 27
Game Number: 40, Green: 12, Red: 20, Blue: 34
Game Number: 41, Green: 6, Red: 12, Blue: 4
Game Number: 42, Green: 19, Red: 26, Blue: 8
Game Number: 43, Green: 18, Red: 20, Blue: 7
Game Number: 44, Green: 54, Red: 60, Blue: 9
Game Number: 45, Green: 11, Red: 12, Blue: 31
Game Number: 46, Green: 31, Red: 38, Blue: 33
Game Number: 47, Green: 8, Red: 31, Blue: 4
Game Number: 48, Green: 51, Red: 10, Blue: 49
Game Number: 49, Green: 12, Red: 5, Blue: 40
Game Number: 50, Green: 26, Red: 14, Blue: 5
Game Number: 51, Green: 54, Red: 63, Blue: 41
Game Number: 52, Green: 27, Red: 3, Blue: 4
Game Number: 53, Green: 53, Red: 31, Blue: 41
Game Number: 54, Green: 37, Red: 10, Blue: 24
Game Number: 55, Green: 8, Red: 29, Blue: 37
Game Number: 56, Green: 26, Red: 16, Blue: 38
Game Number: 57, Green: 71, Red: 66, Blue: 48
Game Number: 58, Green: 68, Red: 31, Blue: 45
Game Number: 59, Green: 70, Red: 8, Blue: 11
Game Number: 60, Green: 40, Red: 14, Blue: 15
Game Number: 61, Green: 3, Red: 27, Blue: 24
Game Number: 62, Green: 8, Red: 27, Blue: 10
Game Number: 63, Green: 7, Red: 14, Blue: 11
Game Number: 64, Green: 12, Red: 24, Blue: 61
Game Number: 65, Green: 42, Red: 24, Blue: 18
Game Number: 66, Green: 7, Red: 5, Blue: 21
Game Number: 67, Green: 30, Red: 61, Blue: 61
Game Number: 68, Green: 18, Red: 24, Blue: 3
Game Number: 69, Green: 48, Red: 26, Blue: 36
Game Number: 70, Green: 17, Red: 30, Blue: 38
Game Number: 71, Green: 2, Red: 14, Blue: 19
Game Number: 72, Green: 14, Red: 20, Blue: 26
Game Number: 73, Green: 19, Red: 12, Blue: 4
Game Number: 74, Green: 7, Red: 18, Blue: 26
Game Number: 75, Green: 28, Red: 23, Blue: 27
Game Number: 76, Green: 6, Red: 36, Blue: 3
Game Number: 77, Green: 27, Red: 26, Blue: 39
Game Number: 78, Green: 48, Red: 45, Blue: 38
Game Number: 79, Green: 19, Red: 33, Blue: 14
Game Number: 80, Green: 52, Red: 28, Blue: 29
Game Number: 81, Green: 27, Red: 34, Blue: 8
Game Number: 82, Green: 24, Red: 6, Blue: 4
Game Number: 83, Green: 35, Red: 51, Blue: 55
Game Number: 84, Green: 33, Red: 15, Blue: 14
Game Number: 85, Green: 21, Red: 23, Blue: 49
Game Number: 86, Green: 64, Red: 55, Blue: 18
Game Number: 87, Green: 9, Red: 15, Blue: 34
Game Number: 88, Green: 19, Red: 55, Blue: 33
Game Number: 89, Green: 8, Red: 23, Blue: 3
Game Number: 90, Green: 39, Red: 16, Blue: 54
Game Number: 91, Green: 41, Red: 6, Blue: 15
Game Number: 92, Green: 17, Red: 33, Blue: 36
Game Number: 93, Green: 16, Red: 23, Blue: 8
Game Number: 94, Green: 7, Red: 35, Blue: 9
Game Number: 95, Green: 7, Red: 21, Blue: 24
Game Number: 96, Green: 41, Red: 4, Blue: 30
Game Number: 97, Green: 32, Red: 7, Blue: 26
Game Number: 98, Green: 4, Red: 9, Blue: 10
Game Number: 99, Green: 8, Red: 30, Blue: 8
Game Number: 100, Green: 45, Red: 42, Blue: 7
